Tên công việc,Tên công ty,Đường link,Địa điểm,Kinh nghiệm,Hạn ứng tuyển
Data Analyst Ngân Hàng Shinhan,Ngân Hàng TNHH MTV Shinhan Việt Nam,https://www.topcv.vn/viec-lam/data-analyst-ngan-hang-shinhan/2174212.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,1 năm,31/08/2026
Data Analyst Workforce Management_App Social Video,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,https://www.topcv.vn/brand/transcosmoshochiminh/tuyen-dung/data-analyst-workforce-management-app-social-video-j2238139.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,1 năm,31/08/2026
Chuyên Viên Dữ Liệu / Data Executive / Bắt Buộc Biết Tiếng Trung / Quận 7,CÔNG TY TNHH NEXTAD STUDIO,https://www.topcv.vn/viec-lam/chuyen-vien-du-lieu-data-executive-bat-buoc-biet-tieng-trung-quan-7/2046581.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,1 năm,31/08/2026
CVM Manager (Ưu Tiên Có Kn Strategy & Analytics),Công Ty Tài Chính Tổng hợp Cổ Phần Tín Việt,https://www.topcv.vn/viec-lam/cvm-manager-uu-tien-co-kn-strategy-analytics/2245117.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,"Hồ Chí Minh,Hà Nội",Trên 5 năm,20/08/2026
Data Analytics Lead,CÔNG TY TNHH DỊCH VỤ SECOM,https://www.topcv.vn/viec-lam/data-analytics-lead/2232005.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,5 năm,09/08/2026
Risk Management Specialist (CV Quản Lý Rủi Ro),Công Ty Tài Chính Tổng hợp Cổ Phần Tín Việt,https://www.topcv.vn/viec-lam/risk-management-specialist-cv-quan-ly-rui-ro/2220752.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,1 năm,30/07/2026
Chuyên Viên Phân Tích Dữ Liệu Vận Hành,CÔNG TY CỔ PHẦN CARPLA,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-du-lieu-van-hanh/2245988.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,1 năm,22/08/2026
Data Analyst (Leader),CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,https://www.topcv.vn/viec-lam/data-analyst-leader/2245403.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,3 năm,21/08/2026
Risk Analysis,Công Ty Tài Chính Tổng hợp Cổ Phần Tín Việt,https://www.topcv.vn/viec-lam/risk-analysis/2227463.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,1 năm,05/08/2026
Chuyên Viên Phân Tích Vận Hành Và Quản Trị Dữ Liệu (DGA/ Analytics Engineer),CELLPHONES,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-van-hanh-va-quan-tri-du-lieu-dga-analytics-engineer/2226731.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,2 năm,05/08/2026
Chuyên Viên Phân Tích Thống Kê,Công ty TNHH Thực Phẩm Thái Sơn,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-thong-ke/325305.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,2 năm,18/08/2026
Chuyên Viên Phân Tích Dữ Liệu (Kênh Trả Góp),CÔNG TY TÀI CHÍNH TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN LOTTE VIỆT NAM,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-du-lieu-kenh-tra-gop/2223692.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,1 năm,02/08/2026
Data Management Executive,Công ty Cổ phần METUB Việt Nam,https://www.topcv.vn/viec-lam/data-management-executive/2223403.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,2 năm,01/08/2026
Data Analyst (Workforce Management),Công ty TNHH Vietnam Concentrix Services,https://www.topcv.vn/brand/concentrixservices/tuyen-dung/data-analyst-workforce-management-j2236885.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,1 năm,14/08/2026
Data Analyst (Middle Level),CÔNG TY TNHH AMARIS VIỆT NAM,https://www.topcv.vn/viec-lam/data-analyst-middle-level/2219379.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,2 năm,29/07/2026
Lead Phân Tích Dữ Liệu (Data Analyst),CÔNG TY CỔ PHẦN CÔNG NGHỆ SICIX,https://www.topcv.vn/viec-lam/lead-phan-tich-du-lieu-data-analyst/2230421.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,"Hà Nội,Hồ Chí Minh",3 năm,08/08/2026
Quản Trị Và Vận Hành Misa Amis - Không Kinh Nghiệm,CÔNG TY TNHH MTV KỸ THUẬT TÚ LỘC,https://www.topcv.vn/viec-lam/quan-tri-va-van-hanh-misa-amis-khong-kinh-nghiem/2228691.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,Không yêu cầu,06/08/2026
Chuyên Viên Khai Thác Số Liệu,Ngân Hàng Thương Mại Cổ Phần Kiên Long,https://www.topcv.vn/viec-lam/chuyen-vien-khai-thac-so-lieu/2225914.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PkRogDac2NRCf3nmn5mk1q3ApbNYunwCQqlnDdeg_1785251203,Hồ Chí Minh,3 năm,05/08/2026
